Category,Merchant Name,Address,City
Puntos verdes,PIWÉN PLAZA MAIPU,METRO ESTACIÓN PLAZA DE MAIPÚ 0 LINEA 5,Maipu
Restaurantes,BARBAS VEGAN,AVENIDA PAJARITOS 2045 FOODTRUCK TEATRO MUNICIPAL DE MAIPU,Maipu
Patio de comida,SAVORY PAJARITOS,PAJARITOS 1948 LOCAL 5,Maipu
Patio de comida,KFC CENTRO COMERCIAL PLAZA MAIPU,PAJARITOS 1948 LOCAL 4 NIVEL 2,Maipu
Restaurantes,SAN CAMILO SUCURSAL 33,LOS PAJARITOS 1912,Maipu
Patio de comida,KFC PLAZA MAIPU,PAJARITOS 2018,Maipu
Casinos,AQUELARRE AIEP MAIPU,CALLE CHACABUCO 40 5TO PISO AIEP MAIPU,Maipu
Patio de comida,JUAN MAESTRO CENTRO COMERCIAL MAIPU,PAJARITOS 1948 LOCAL 5,Maipu
Patio de comida,DUNKIN - PUMAY,5 DE ABRIL 33 LOCAL 1918,Maipu
Patio de comida,CENTRO COMERCIAL MAIPU,PAJARITOS 1948 LOCAL 7,Maipu
Restaurantes,FUENTE OASIS,CHACABUCO 50 LOCAL 1,Maipu
Patio de comida,TARRAGONA PAJARITOS MAIPU,PAJARITOS 1790 LOCAL 3008,Maipu
Patio de comida,SAVORY ESPACIO URBANO MAIPU,PAJARITOS 1790 LOCAL 3040,Maipu
Patio de comida,POLLO STOP MAIPU,PAJARITOS 1790 LOCAL 320,Maipu
Patio de comida,SUBWAY PLAZA MAIPU,AV. ESQUINA BLANCA 261,Maipu
Restaurantes,AL ANTOJO PLAZA MAIPU,ALBERTO LLONA 1745,Maipu
Restaurantes,HONG YUN,ESQUINA BLANCA 271,Maipu
Patio de comida,BUFFALO WAFFLES PAJARITOS,PAJARITOS 1790 LOCAL 3,Maipu
Patio de comida,TIP TOP PAJARITOS,PAJARITOS 1790 LOCAL 1048-1052,Maipu
Patio de comida,WENDY´S ESPACIO URBANO MAIPU,PAJARITOS 1790 LOCAL 3024,Maipu
Patio de comida,DUNKIN ESPACIO URBANO MAIPU,PAJARITOS 1790 LOCAL 1040-1044,Maipu
Patio de comida,DOGGIS ESPACIO URBANO MAIPU,LOS PAJARITOS 1790 LOCAL 3028,Maipu
Restaurantes,MARLEY COFFEE ESPACIO URBANO MAIPU,LOS PAJARITOS 1790 (EX RAMÓN FREIRE) INTERIOR DE MALL ESPACIO URB,Maipu
Patio de comida,KFC MAIPU CENTER,LOS PAJARITOS 1790,Maipu
Patio de comida,JUAN MAESTRO AV PAJARITOS,LOS PAJARITOS 1790 3032,Maipu
Patio de comida,BURGER KING AVENIDA 5,5 DE ABRIL 90,Maipu
Restaurantes,EL PATRON DEL SUSHI MAIPU,ESQUINA BLANCA 335,Maipu
Restaurantes,SAN CAMILO SUCURSAL 15,5 DE ABRIL 121,Maipu
Restaurantes,SAN CAMILO SUCURSAL 10-F,LOS PAJARITOS 1650,Maipu
Restaurantes,DE GUATON A GUATON,PRIMERA TRANSVERSAL 1971 LOCAL 1,Maipu
Restaurantes,BAREN DOKKAN,AV 05 DE ABRIL 33 CHACABUCO LOCAL 94,Maipu
Restaurantes,THE SOCIAL SHAWARMA,ESQUINA BLANCA 506 ESQUINA BLANCA,Maipu
Restaurantes,SUSHITUMARE SUC MAIPU,MONUMENTO 2196,Maipu
Patio de comida,DOMINOS PIZZA PAJARITOS,LOS PAJARITOS 2292,Maipu
