Category,Merchant Name,Address,City
Patio de comida,JUAN MAESTRO HUERFANOS 859,HUERFANOS 859,Santiago
Patio de comida,DOGGIS SANTA ROSA,LIBERTADOR BERNARDO OHIGGINS 644 LOCAL 4,Santiago
Patio de comida,TOMMY BEANS,MANQUEHUE SUR 31 LOCAL 5,Las Condes
Patio de comida,HELADERIA DOGGIS LOS DOMINICOS,PADRE HURTADO SUR 785 LC FC 3009,Las Condes
Patio de comida,TOMMY BEANS COSTANERA CENTER,ANDRES BELLO 2447 LOCAL 5516,Providencia
Patio de comida,TOMMY BEANS ESAPACIO M,COMPAÑÍA DE JESUS 1214 LOCAL 310,Santiago
Minimarket,ALMACEN VEGANO OSTARA,LIBERTADOR BERNARDO OHIGGINS 1394 LOCAL 10,Santiago
Restaurantes,CASINO BCI HUERFANOS,HUERFANOS 1102,Santiago
Restaurantes,CASINO SODEXO BANCO DE CHILE,AGUSTINAS 951 PISO 4,Santiago
Restaurantes,DIEGOS RESTAURANT LTDA,MERCED 509,Santiago
Restaurantes,LA FUENTE OFICIAL,CALLE GENERAL BULNES 72,Santiago
Restaurantes,CAFE DOPPIO,RICARDO LYON 222 LOCAL 4,Providencia
Restaurantes,PACHACAMAC,CIRUJANO GUZMAN 102,Providencia
Restaurantes,EL FARO DE SAN ISIDRO,SAN ISIDRO 599,Santiago
Restaurantes,PANTALEON,TEATINOS 602,Santiago
Restaurantes,SUSHI KAY,LIBERT. BERNARDO OHIGGINS 949 LOCAL 228-229,Santiago
Restaurantes,PEOPLE,BRAVO 951,Providencia
Restaurantes,MAXIM'S LUNCH,HELVECIA 240 LOC 2,Las Condes
Restaurantes,FAUSTINA,ANDRES BELLO 2177,Providencia
Restaurantes,BLASCO,PROVIDENCIA 59,Providencia
Restaurantes,AMBAR,ORREGO LUCO 21,Providencia
Restaurantes,EMPORIUM EXPRESS 3,VIDAURRE 1501,Santiago
Patio de comida,SUSHI BLUES,BANDERA 101 LOCAL 10 A,Santiago
Restaurantes,LA CASONA DEL AJI SECO,MANUEL MONTT 652,Providencia
