Category,Merchant Name,Address,Location
Restaurantes,KAMISUSHI,SAN PABLO 6004,Lo Prado
Minimarket,CARMENCITA,SAN ALBERTO 853,Lo Prado
Restaurantes,OHANA SUSHI LO PRADO - SOLO COMPRA ONLINE,LO PRADO S/N 0,Lo Prado
Restaurantes,SAN CAMILO SUCURSAL 17,SAN PABLO 6177,Lo Prado
Restaurantes,SAN CAMILO SUCURSAL 35,SAN PABLO 6150 LOCAL 1,Lo Prado
Patio de comida,TARRAGONA NEPTUNO,NEPTUNO 720 LOCAL 1,Lo Prado
Supermercados,ALVI LO PRADO,SAN PABLO 5660,Lo Prado
Supermercados,LIDER SAN PABLO,NEPTUNO 720,Lo Prado
Minimarket,HIRMENIO DE LA CRUZ ALVARADO PINO,ESPAÑA 206,Santiago
Patio de comida,PARADISO ALAMEDA,ALAMEDA 2380,Santiago
Patio de comida,JUAN MAESTRO LAS REJAS,BERNARDO O´HIGGINS 5091,Santiago
Patio de comida,STARBUCKS COMPAÑIA,COMPAÑIA 1093,Santiago
Restaurantes,OHANA SUSHI,VICUÑA ROZAS 5218,Quinta Normal
Restaurantes,CASINO METRO NEPTUNO,LO PRADO 6252,Lo Prado
Restaurantes,SUSHI LOVERS QUINTA NORMAL,SAMUEL IZQUIERDO 1568,Quinta Normal
Restaurantes,KIBOSUSHI CEVICHES,LOS COPIHUES 6902,Lo Prado
Restaurantes,MAKAVI SUSHI,RADAL 1266 LOCAL C,Quinta Normal
Patio de comida,KFC PAJARITOS,GENERAL OSCAR BONILLA 5900 LOCAL 4,Lo Prado
Minimarket,XS MARKET PAJARITOS,GENERAL BONILLA 5900 LOCAL LG-PJ,Lo Prado
Patio de comida,DUNKIN' DONUTS LO PRADO,GENERAL BONILLA 5900 ESTACION PAJARITO LOCAL 7,Lo Prado
Restaurantes,SAN CAMILO SUCURSAL 16,GENERAL BONILLA 5900 LOCAL 8,Lo Prado
Restaurantes,SAN CAMILO SUCURSAL 18,SAN PABLO 7187,Lo Prado
Patio de comida,PIZZA PIZZA AV. ECUADOR 5331,ECUADOR 5331,Lo Prado
Patio de comida,SUBWAY LAS REJAS,MARIA ROSAS VELASQUEZ 2 LOCAL B (LAS REJAS),Lo Prado
Restaurantes,SUSHI LOVERS 11,LAS CATALPAS 14,Estacion Central
Patio de comida,"PEDRO, JUAN & DIEGO LAS REJAS",BERNARDO OHIGGINS 5199 LOCAL 30,Estacion Central
Supermercados,LOS ALPES 1295,COMPAÑIA 1295,Santiago
Supermercados,M10 LO PRADO,SAN PABLO 6702,Lo Prado
Supermercados,SANTA ISABEL SAN PABLO,SAN PABLO 4870,Quinta Normal
Supermercados,ALVI -J.J.PEREZ,J.J. PEREZ 6658,Cerro Navia
Supermercados,SANTA ISABEL ECUADOR,ECUADOR 5455,Lo Prado
Supermercados,LIDER EXPRESS LAS REJAS,LIBERTADOR BERNARDO O´HIGGINS 5199,Estacion Central
Patio de comida,SUBWAY,CLAUDIO ARRAU 6910 LOCAL 26,Pudahuel
Restaurantes,DON DEL MELKY,ESTADOS UNIDOS 1233,Cerro Navia
Restaurantes,JESENIA ALEJANDRA VALDES AVELLO,GUMERCINDO VARGAS 1145,Cerro Navia
Restaurantes,SAN CAMILO SUCURSAL 36,SAN PABLO 8330 LOCAL 1,Pudahuel
Restaurantes,CASINO WALL STREET,ECUADOR 3519,Estacion Central
Patio de comida,KFC GENERAL VELASQUEZ,PADRE ALBERTO HURTADO 75,Estacion Central
Restaurantes,ALMACEN ROUSS & ANDRÉ SPA,ROMA 7362,Cerro Navia
Restaurantes,CHASKI,ECUADOR 3480,Estacion Central
Casinos,DILEMMA SPA,ECUADOR 3492 A,Estacion Central
Restaurantes,CAFETERIA PATIO LOS NARANJOS,ECUADOR 3363,Estacion Central
Minimarket,CAFETERIA FAC.DE ARTES Y OFICIOS USACH,ECUADOR 3659,Estacion Central
Casinos,YAYITA USACH,ECUADOR 3769,Estacion Central
Casinos,KIOSKO 13 SECTOR 7,ECUADOR (VICTOR JARA) 3659 INTERIOR (SECTOR 7),Estacion Central
Restaurantes,FRAN FRUIT CHILE,AV ECUADOR 3363 INTERIOR USACH PABELLÓN FORMA,Estacion Central
Minimarket,NEWMARKET,SAN PABLO 4050 LOCAL 1,Quinta Normal
Restaurantes,OHANA SUSHI ESTACION CENTRAL,LAS REJAS SUR 665,Estacion Central
