Category,Merchant Name,Address,City
Casinos,LA TERESA INACAP LA GRANJA,AMÉRICO VESPUCIO 315,La Granja
Casinos,CASINO-FACULTAD DE CIENCIAS AGRONÓMICAS,SANTA ROSA 11315,La Pintana
Casinos,CASTANO E-AUSM,RICARDO MORALES 3369 CAMPUS EL LLANO UA,San Miguel
Casinos,LA TERESA MORALES -1,RICARDO MORALES 3369 LOCAL 3,San Miguel
Casinos,LA TERESA AUTONOMA L1 EXTERIOR,RICARDO MORALES 3369 1 CAFETERIA EXTERIOR PRIMER PISO,San Miguel
Casinos,LA TERESA AUTONOMA L2,RICARDO MORALES 3369 2 CAFETERIA INTERIOR,San Miguel
Casinos,UA EL LLANO,RAMON SUBERCASEAUX 1404 PISO -1,San Miguel
Casinos,SUBWAY SAN JOAQUIN,VICUÑA MACKENNA 4927 LOCAL 1B Y 2A,San Joaquin
Casinos,ALDEA VEGETAL,VICUÑA MACKENNA 4917 MODULO 1 INTERIOR DUOC,San Joaquin
Casinos,SERVICIOS BI-GOURMET 8,VICUNA MACKENNA 4917,San Joaquin
Casinos,CASTANO E-DUSJ,VICUÑA MACKENA 4917 INTERIOR DUOC,San Joaquin
Casinos,CARRO LA TERESA DUOC,VICUÑA MACKENNA 4917,San Joaquin
Casinos,LE PACHE,VICUÑA MACKENNA 4860,San Joaquin
Casinos,SUBWAY UNIVERSIDAD CATOLICA,VICUÑA MACKENNA 4860 ED. LAS PATAGUAS 1ER NIVEL,Macul
Casinos,FOOD TRUCK PUC SAN JOAQUIN,VICUÑA MACKENNA 4860,Macul
Casinos,CASTAÑO CAMPUS SAN JOAQUIN 3,VICUÑA MACKENNA 4860,Macul
Minimarket,XS MARKET AMERICO VESPUCIO 2,AMERICO VESPUCIO 33 LOCAL 301,La Cisterna
Minimarket,MAXIK INTERMODAL LA CISTERNA 1,AMERICO VESPUCIO 33 LOCAL 124 S1,La Cisterna
Minimarket,XS MARKET LA CISTERNA,JOSE MIGUEL CARRERA 8870 EX 9312 MODULO 1 SALIDA SUR,La Cisterna
Minimarket,XS MARKET LA CISTERNA ORIENTE,JOSE MIGUEL CARRERA 8870 EX 9312 MODULO 1 ORIENTE,La Cisterna
Minimarket,MAXIK EL PARRON,GRAN AV. JOSE MIGUEL CARRERA 7958 7958 L 1,La Cisterna
Minimarket,XS MARKET,JOSE MIGUEL CARRERA 6559 LOCAL 1,La Cisterna
Minimarket,XS MARKET OVALLE 2,"CARVAJAL 94 LOCAL 1,2,3 - TERMINAL",La Cisterna
Minimarket,LA POLLITA,SAN LUIS 6422,La Cisterna
Minimarket,LUNNAS.CL,DICIOCHO 31,Santiago
Minimarket,DELICIAS ANGELICA,ANTONIO VARAS 1143,El Bosque
Minimarket,COLIBRI,GRAN AVENIDA 5553 LOCAL 31,San Miguel
Minimarket,DIPPER,CENTRAL CARDENAL RAÚL SILVA HENRIQUEZ 7233,Lo Espejo
Minimarket,MARÍA EUGENIA,CLAUDIO ARRAU 345,El Bosque
Minimarket,COMERCIALIZADORA EMILIA CÁRDENAS E.I.R.L.,SANTIAGO ERICKSEN 13 13,Chile Chico
Minimarket,ALMACEN LOS GIRASOLES,LOS GIRASOLES 719,La Granja
Minimarket,CARLOS ALCIDES ESPINOZA HENRIQUEZ,PASAJE HIGUERITAS 994,La Granja
Minimarket,DUMMBO DONUST,AMERICO VESPUCIO 1501,Cerrillos
Minimarket,CANDY SUGAR,AMERICO VESPUCIO 1501 LOCAL D229,Cerrillos
Minimarket,CASTAÑO POES,AMERICO VESPUCIO 1501 MALL PLAZA OESTE,Cerrillos
Minimarket,EMPORIO DULCE VIDA,CURINANCA 878,San Miguel
Minimarket,EMPORIO LA MOCHA,LOS CASTAÑOS 3482,San Miguel
Minimarket,MAXIK PORTAL EL LLANO 2,EL LLANO SUBERCASEAUX 3519 LOCAL 1038,San Miguel
Minimarket,ALMACEN ALBERTO ENRIQUE CID MONTERO,RAMON SUBERCASEAUX 1236,San Miguel
Minimarket,BAZAR EL LLANO,RAMON SUBERCASEAUX 1420,San Miguel
Minimarket,58 MARKET VICUÑA MACKENA,VICUÑA MACKENNA 6690 LOCAL 10,La Florida
Minimarket,JUANA HUENUN CHEUQUIAN,BARTOLOMÉ DÍAZ 563,San Bernardo
Minimarket,UC SJ PATAGUA,VICUÑA MACKENNA 4860 PATAGUA,Macul
Minimarket,UC SJ EX-VETERINARIA,VICUÑA MACKENNA 4860 EX-VETERINARIA,Macul
Patio de comida,KAMI LA CISTERNA,GRAN AVENIDA 8637,La Cisterna
Patio de comida,SUBWAY LA CISTERNA,"JOSE MIGUEL CARRERA 8826 LOCAL 4,5,6",La Cisterna
Patio de comida,SUBWAY LA CISTERNA LINEA 2,"JOSE MIGUEL CARRERA 8826 LOCAL 26 METRO LA CISTERNA, NIVEL BOLETERÍA",La Cisterna
Patio de comida,JUAN MAESTRO - INTERMODAL,AMERICO VESPUCIO 33 LOCAL 9,La Cisterna
Patio de comida,SAVORY INTERMODAL,AMERICO VESPUCIO 33 LOCAL 13,La Cisterna
Patio de comida,DOGGIS INTERMODAL LA CISTERNA,AMERICO VESPUCIO 33 LOCAL 7A Y 7,La Cisterna
Patio de comida,BUFFALO WAFFLES INTERMODAL LA CISTERNA,AMERICO VESPUCIO 33,La Cisterna
Patio de comida,MAXIK INTERMODAL LA CISTERNA 3,AMERICO VESPUCIO 33 L 302 S3,La Cisterna
Patio de comida,TARRAGONA INTERMODAL,AMERICO VESPUCIO 33 LOCAL 8,La Cisterna
Patio de comida,KFC INTERMODAL LA CISTERNA,AMERICO VESPUCIO 33 LOC 6 PISO 1,La Cisterna
Patio de comida,MAXIK LA CISTERNA 2,JOSE MIGUEL CARRERA 8912 LOCAL 2,La Cisterna
Patio de comida,PIZZA PIZZA GRAN AVENIDA 8159,GRAN AVENIDA 8159,La Cisterna
Patio de comida,KFC GRAN AVENIDA,JOSE MIGUEL CARRERA 7409 LOCAL 7404,La Cisterna
Patio de comida,SUBWAY OSSA,AV OSSA 1400 LOCAL 2 B,San Miguel
Patio de comida,KFC ARAUCO EL BOSQUE,JOSE MIGUEL CARRERA 10375 LOCAL 2070B,El Bosque
Patio de comida,DUNKIN ARAUCO EL BOSQUE,JOSE MIGUEL CARRERA 10375 LOCAL 2070 A,El Bosque
Patio de comida,TARRAGONA EL BOSQUE,JOSE MIGUEL CARRERA 10375 LOCAL 2040,El Bosque
Patio de comida,SAVORY EL BOSQUE,JOSE MIGUEL CARRERA 10375 LOCAL 2025,El Bosque
Patio de comida,"PEDRO, JUAN & DIEGO EL BOSQUE",JOSE MIGUEL CARRERA 10375 LOCAL 2060,El Bosque
Patio de comida,DOGGIS TOTTUS EL BOSQUE,GRAN AVENIDA JOSE MIGUEL CARRERA 10375 LOC:2050,El Bosque
Patio de comida,BUFFALO WAFFLES ESPACIO URBANO GRAN AVENIDA,JOSE MIGUEL CARRERA 6150 MODULO 16 PISO 1,San Miguel
Patio de comida,SUBWAY GRAN AVENIDA,GRAN AVENIDA JOSÉ MIGUEL CARRERA 6150 LOCAL 1240,San Miguel
Patio de comida,MAMUT GRAN AVENIDA,JOSE MIGUEL CARRERA 6150 LOCAL 32,San Miguel
Patio de comida,JUAN MAESTRO ESPACIO URBANO,GRAN AVENIDA JOSE MIGUEL CARRERA 6150 1048 MALL ESPACIO URBANO GRAN AVENIDA,San Miguel
Patio de comida,TARRAGONA LIDER GRAN AVENIDA,GRAN AVENIDA JOSE MIGUEL CARRERA 6150 LOCAL 35,San Miguel
Patio de comida,SAVORY LIDER SAN MIGUEL,GRAN AVENIDA JOSE MIGUEL CARRERA 6150 LOCAL 36,San Miguel
Patio de comida,DUNKIN' DONUTS GRAN AVENIDA,GRAN AVENIDA 6150 LOCAL 1068,San Miguel
Patio de comida,BUFALO BEEF - GRAN AVENIDA,JOSE MIGUEL CARRERA 6150 LOCAL 33,San Miguel
Patio de comida,DOGGIS GRAN AVENIDA,JOSE MIGUEL CARRERA 6150 LOCAL 32,San Miguel
Patio de comida,STARBUCKS SAN MIGUEL,JOSE MIGUEL CARRERA 6150 LOCAL 1176-1800,San Miguel
Patio de comida,DOMINOS PIZZA GRAN AVENIDA,GRAN AVENIDA J.M. CARRERA 5919 LOCAL 2,San Miguel
Patio de comida,PIZZA PIZZA GRAN AVENIDA 5598,GRAN AVENIDA 5598,San Miguel
Patio de comida,TACO BELL GRAN AVENIDA,GRAN AVENIDA JOSE MIGUEL CARRERA 5553 LOCAL 7-8-9,San Miguel
Patio de comida,HAPPY DAY WAFFLES GRAN AVENIDA,GRAN AVENIDA JOSE MIGUEL CARRERA 5553 LOCAL 25 SAN MIGUEL,San Miguel
Patio de comida,LATINA PIZZA LO ESPEJO,CENTRAL CARDENAL RAUL SILVA HENRIQUEZ 7456 EX 6756 LOCAL B,Lo Espejo
Patio de comida,KAMI PAC,CLUB HIPICO 5424,Pedro Aguirre Cerda
Patio de comida,LATIN PIZZA LA GRANJA,JOAQUIN EDWARD BELLO 10488,La Granja
Patio de comida,DOGGIS LIDER CERRILLOS,AMERICO VESPUCIO 2700 LOCAL 6,Cerrillos
Patio de comida,KAMI SAN MIGUEL,GRAN AVENIDA 4399,San Miguel
Patio de comida,KAMI LA GRANJA,CARDENAL RAUL SILVA HENRIQUEZ 10002,La Granja
Patio de comida,LATIN PIZZA EL BOSQUE,PADRE HURTADO 13180,El Bosque
Patio de comida,WENDY´S MALL PLAZA OESTE,AMÉRICO VESPUCIO 1501 LOCALES B326-B330,Cerrillos
Patio de comida,SAVORY CERRILOS,AMERICO VESPUCIO 1501 LOCAL A-285,Cerrillos
Patio de comida,PARADISO PLAZA OESTE,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,RENDIBU CERRILLOS,AMERICO VESPUCIO 1501,Cerrillos
